"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
4	5/28/1996 0:00:00	343	18.00	8210	8330	30				
4	5/28/1996 0:00:00	344	18.50	6890	7320	35				
4	5/28/1996 0:00:00	345	19.90	3582	4280	45				
4	5/28/1996 0:00:00	346	20.10	2521	3218	30				
4	5/29/1996 0:00:00	323	15.90	11680	14220	42				
4	5/29/1996 0:00:00	405	17.00	451	5630	25				
4	5/29/1996 0:00:00	411	16.50	181	291	43				
4	5/29/1996 0:00:00	501	16.50	113	122	48				
4	5/29/1996 0:00:00	504	17.00	113	113	43				
4	5/29/1996 0:00:00	519	17.30	109	129	41				
5	6/8/1996 0:00:00	809	21.30	131	134	75				
5	6/8/1996 0:00:00	901	21.60	126	141	83				
5	6/8/1996 0:00:00	902	23.30	141	156	74				
5	6/8/1996 0:00:00	910	25.40	274	325	50				
5	6/8/1996 0:00:00	912	25.50	400	413	50				
5	6/8/1996 0:00:00	915	24.20	153	138	83				
5	6/8/1996 0:00:00	918	25.20	204	202	54				
5	6/9/1996 0:00:00	705	21.40	114	120	58				
5	6/9/1996 0:00:00	707	21.20	116	115	46				
5	6/9/1996 0:00:00	711	21.20	100	107	58				
5	6/9/1996 0:00:00	716	21.50	145	148	35				
5	6/9/1996 0:00:00	815	21.90	149	117	64				
5	6/9/1996 0:00:00	906	23.00	168	158	61				
5	6/9/1996 0:00:00	919	22.00	102	151	55				
